Customer_id,Transaction_date,Year,Month,Quarter,Weekday,Total_amount
2731,2022-01-22,2022,1,1,5,6.822197390620491
1416,2022-10-27,2022,10,4,3,5.293304824724492
1578,2021-10-29,2021,10,4,4,6.111467339502679
118,2020-12-03,2020,12,4,3,4.962844630259907
2188,2021-06-22,2021,6,2,1,5.68697535633982
346,2023-07-06,2023,7,3,3,5.37989735354046
2336,2022-07-03,2022,7,3,6,6.7464121285733745
2729,2020-07-13,2020,7,3,0,6.133398042996649
200,2020-10-03,2020,10,4,5,5.262690188904886
2279,2020-04-09,2020,4,2,3,6.470799503782602
203,2020-06-30,2020,6,2,1,5.723585101952381
1344,2021-09-22,2021,9,3,2,5.278114659230517
2195,2020-03-18,2020,3,1,2,5.241747015059643
1138,2020-11-25,2020,11,4,2,6.304448802421981
130,2023-05-26,2023,5,2,4,3.5263605246161616
2854,2022-09-04,2022,9,3,6,5.983936280687191
1072,2022-02-01,2022,2,1,1,5.442417710521793
1295,2023-04-12,2023,4,2,2,5.293304824724492
2303,2021-01-04,2021,1,1,0,6.236369590203704
558,2022-03-09,2022,3,1,2,6.428105272684596
874,2021-09-24,2021,9,3,4,6.481577129276431
772,2021-02-17,2021,2,1,2,7.052721049232323
2388,2022-07-11,2022,7,3,0,5.91350300563827
565,2021-12-09,2021,12,4,3,6.366470447731438
1131,2020-10-09,2020,10,4,4,6.07073772800249
475,2022-11-12,2022,11,4,5,5.5093883366279774
1106,2020-06-12,2020,6,2,4,5.602118820879701
2183,2021-03-19,2021,3,1,4,3.8501476017100584
441,2021-04-14,2021,4,2,2,6.5638555265321274
1958,2022-08-25,2022,8,3,3,5.808142489980444
1333,2020-07-02,2020,7,3,3,3.4339872044851463
879,2023-10-03,2023,10,4,1,4.553876891600541
1856,2023-09-20,2023,9,3,2,4.912654885736052
2444,2020-11-13,2020,11,4,4,3.9512437185814275
2427,2023-10-18,2023,10,4,2,4.844187086458591
1878,2022-01-12,2022,1,1,2,5.262690188904886
692,2022-08-30,2022,8,3,1,6.660575149839686
2695,2020-06-03,2020,6,2,2,4.700480365792417
2788,2022-02-02,2022,2,1,2,5.365976015021851
2181,2020-07-26,2020,7,3,6,5.564520407322694
2543,2021-12-31,2021,12,4,4,4.574710978503383
434,2021-02-12,2021,2,1,4,5.53338948872752
475,2021-07-09,2021,7,3,4,5.1647859739235145
2755,2021-12-11,2021,12,4,5,5.262690188904886
2537,2021-07-09,2021,7,3,4,5.855071922202427
1829,2023-05-05,2023,5,2,4,5.545177444479562
1386,2023-10-04,2023,10,4,2,5.1298987149230735
155,2021-11-25,2021,11,4,3,6.398594934535208
2529,2021-05-17,2021,5,2,0,4.574710978503383
138,2023-06-06,2023,6,2,1,5.942799375126701
1730,2023-11-22,2023,11,4,2,4.859812404361672
2055,2022-02-05,2022,2,1,5,5.87493073085203
891,2023-12-24,2023,12,4,6,5.53338948872752
1400,2023-07-31,2023,7,3,0,5.54907608489522
1505,2021-02-11,2021,2,1,3,6.53813982376767
2623,2023-10-29,2023,10,4,6,5.602118820879701
1896,2023-01-09,2023,1,1,0,5.262690188904886
333,2022-12-05,2022,12,4,0,4.634728988229636
1050,2021-01-19,2021,1,1,1,6.16541785423142
2433,2020-04-12,2020,4,2,6,6.652863029353347
800,2022-07-15,2022,7,3,4,5.87493073085203
1736,2021-09-26,2021,9,3,6,3.332204510175204
2164,2022-10-06,2022,10,4,3,6.336825731146441
2519,2021-06-10,2021,6,2,3,6.023447592961033
1202,2020-07-31,2020,7,3,4,5.017279836814924
1226,2020-09-04,2020,9,3,4,5.942799375126701
1106,2023-06-05,2023,6,2,0,6.236369590203704
950,2021-01-19,2021,1,1,1,5.081404364984463
175,2021-01-04,2021,1,1,0,4.7535901911063645
1187,2020-04-18,2020,4,2,5,6.859614903654202
1281,2023-06-18,2023,6,2,6,6.580639137284949
2555,2023-10-19,2023,10,4,3,5.726847747587197
2060,2023-12-13,2023,12,4,2,4.912654885736052
1325,2023-10-28,2023,10,4,5,4.290459441148391
2236,2021-02-11,2021,2,1,3,6.53813982376767
2189,2023-05-02,2023,5,2,1,5.5093883366279774
2259,2020-12-05,2020,12,4,5,6.493753839851686
483,2023-07-04,2023,7,3,1,6.4692503167957724
331,2023-11-03,2023,11,4,4,7.13966033596492
1452,2022-04-18,2022,4,2,0,5.056245805348308
2657,2021-10-15,2021,10,4,4,5.407171771460119
2664,2023-05-25,2023,5,2,3,6.586171654854675
497,2020-11-16,2020,11,4,0,6.1070228877422545
884,2021-09-04,2021,9,3,5,6.555356891810665
2211,2020-06-13,2020,6,2,5,6.0063531596017325
1694,2022-08-25,2022,8,3,3,6.846943139585379
1421,2023-03-19,2023,3,1,6,5.220355825078324
727,2023-06-08,2023,6,2,3,5.726847747587197
1536,2023-11-02,2023,11,4,3,5.517452896464707
2837,2023-09-03,2023,9,3,6,5.988961416889864
933,2022-05-18,2022,5,2,2,4.1588830833596715
2296,2023-10-20,2023,10,4,4,5.2832037287379885
305,2023-11-06,2023,11,4,0,4.574710978503383
2341,2023-04-21,2023,4,2,4,6.679599185844383
766,2022-08-01,2022,8,3,0,5.247024072160486
2930,2021-05-19,2021,5,2,2,4.174387269895637
1169,2020-05-22,2020,5,2,4,5.3230099791384085
1856,2023-11-17,2023,11,4,4,5.081404364984463
467,2023-08-25,2023,8,3,4,5.717027701406222
927,2020-01-15,2020,1,1,2,6.970730078143525
1675,2022-05-31,2022,5,2,1,6.880384082186005
2504,2021-02-15,2021,2,1,0,4.574710978503383
1310,2020-10-24,2020,10,4,5,6.364750756851911
1342,2023-12-01,2023,12,4,4,4.51085950651685
558,2020-10-18,2020,10,4,6,6.428105272684596
2674,2023-05-04,2023,5,2,3,4.3694478524670215
2454,2021-07-25,2021,7,3,6,6.893656354602635
1124,2023-10-30,2023,10,4,0,6.3835066348840055
1072,2020-10-03,2020,10,4,5,5.25227342804663
290,2021-03-29,2021,3,1,0,5.181783550292085
1851,2021-01-08,2021,1,1,4,7.040536390215956
1116,2022-01-09,2022,1,1,6,3.091042453358316
1577,2020-03-26,2020,3,1,3,6.511745329644728
1015,2022-04-24,2022,4,2,6,4.859812404361672
1740,2021-06-28,2021,6,2,0,4.634728988229636
1417,2022-02-25,2022,2,1,4,6.326149473155099
2179,2020-11-04,2020,11,4,2,6.030685260261263
855,2022-09-04,2022,9,3,6,6.501289670540389
2212,2020-07-01,2020,7,3,2,4.962844630259907
1036,2023-12-03,2023,12,4,6,5.777652323222656
1857,2022-05-09,2022,5,2,0,6.137727054086234
2694,2022-04-02,2022,4,2,5,5.44673737166631
2673,2023-08-17,2023,8,3,3,6.501289670540389
328,2023-04-20,2023,4,2,3,7.018401799069201
942,2020-01-03,2020,1,1,4,4.290459441148391
833,2020-05-01,2020,5,2,4,3.9512437185814275
1643,2020-08-20,2020,8,3,3,5.247024072160486
2169,2021-01-10,2021,1,1,6,4.976733742420574
1705,2022-05-13,2022,5,2,4,5.793013608384144
238,2023-10-22,2023,10,4,6,4.6913478822291435
2654,2020-05-17,2020,5,2,6,4.912654885736052
1492,2020-06-11,2020,6,2,3,6.652863029353347
1184,2022-07-31,2022,7,3,6,5.111987788356544
2949,2020-03-23,2020,3,1,0,5.351858133476067
2234,2020-01-03,2020,1,1,4,6.922643891475888
2988,2021-11-08,2021,11,4,0,4.394449154672439
1501,2020-07-30,2020,7,3,3,4.795790545596741
2405,2023-04-18,2023,4,2,1,6.501289670540389
2933,2023-12-29,2023,12,4,4,5.25227342804663
2565,2023-08-15,2023,8,3,1,6.013715156042802
281,2021-01-18,2021,1,1,0,6.849066282633458
1590,2022-03-14,2022,3,1,0,5.961005339623274
2455,2020-06-22,2020,6,2,0,5.14166355650266
734,2021-01-07,2021,1,1,3,6.366470447731438
1100,2020-04-02,2020,4,2,3,6.159095388491933
599,2021-04-13,2021,4,2,1,6.3578422665081
314,2021-04-11,2021,4,2,6,4.406719247264253
1082,2022-09-23,2022,9,3,4,6.304448802421981
960,2023-08-19,2023,8,3,5,6.964135612418245
1658,2023-03-08,2023,3,1,2,5.54907608489522
1154,2020-06-09,2020,6,2,1,4.51085950651685
679,2020-05-21,2020,5,2,3,6.874198495453294
787,2022-09-20,2022,9,3,1,4.820281565605037
1382,2020-09-12,2020,9,3,5,4.8283137373023015
116,2022-07-19,2022,7,3,1,6.478509642208569
1432,2021-08-24,2021,8,3,1,5.697093486505405
818,2023-07-22,2023,7,3,5,5.942799375126701
952,2022-09-04,2022,9,3,6,5.25227342804663
2166,2023-05-22,2023,5,2,0,6.3578422665081
2988,2022-01-24,2022,1,1,0,4.859812404361672
2203,2020-08-23,2020,8,3,6,6.352629396319567
1722,2021-07-03,2021,7,3,5,6.602587892189336
1458,2020-12-06,2020,12,4,6,6.059123195581797
2708,2023-06-07,2023,6,2,2,6.655440350367647
1765,2021-06-07,2021,6,2,0,6.054439346269371
1025,2021-02-14,2021,2,1,6,5.937536205082426
2720,2021-05-17,2021,5,2,0,6.263398262591624
2824,2022-07-21,2022,7,3,3,5.1298987149230735
718,2020-10-13,2020,10,4,1,6.501289670540389
893,2022-12-18,2022,12,4,6,6.803505257608338
1510,2020-07-15,2020,7,3,2,5.5093883366279774
766,2022-08-01,2022,8,3,0,6.810142450115136
304,2021-06-03,2021,6,2,3,5.247024072160486
2303,2023-05-28,2023,5,2,6,4.795790545596741
818,2021-04-18,2021,4,2,6,5.3981627015177525
1074,2023-09-01,2023,9,3,4,5.017279836814924
2596,2022-01-22,2022,1,1,5,4.532599493153256
1718,2023-05-27,2023,5,2,5,5.802118375377063
119,2021-08-06,2021,8,3,4,6.470799503782602
